H2S_CONCENTRATION,StrokeLength,GrossStrokeLength,Fillage,YesterdaysAverageSPM,max_unguided_dls,gas_anchor_length,MAX_INCLINATION,wellbore_category,packer_vs_tac,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_DIFFERENTIAL_PRESSURE,AVG_LIQUID_VOLUME,AVG_WATERSG,rod_has_guides,rod_make,overall_max_sideload,DESANDDEGAS_TYP,CHROME_LENGTH,ENDURALLOY_LENGTH,POLY_LENGTH,NIPPLE_SET_DEPTH,pump_bore,FAILED,lifetime_duration_days,WaterRatio,chemgroup1_score,chemgroup2_score,chemgroup3_score,bha_configuration_PACKER_DONNAN,bha_configuration_PACKER_TAC_DONNAN,bha_configuration_TAC_ABOVE_NIP,bha_configuration_TAC_BELOW_NIP,bha_configuration_UNKNOWN,rod_sinker_type_SLICK_SINKER_BARS,rod_sinker_type_SUCKER_RODS_W_GUIDES,rod_sinker_type_UNKNOWN,rod_apigrade_D,rod_apigrade_Fiberglass,rod_apigrade_K,rod_apigrade_SpecialService,rod_apigrade_UNKNOWN,rod_apigrade_Unknown,ROUTE_870,ROUTE_871,ROUTE_872,ROUTE_873,ROUTE_874,ROUTE_875,ROUTE_880,ROUTE_881,ROUTE_882,ROUTE_883,ROUTE_884,ROUTE_885,ROUTE_886,ROUTE_900,ROUTE_901,ROUTE_902,ROUTE_903,ROUTE_904,ROUTE_905,risk_score
-0.030182602107750468,-0.2510661397739409,-0.627409878332069,0.2995137393095764,0.4246104940289213,-0.1633420335210362,0.28648981105433047,-0.34045118486384657,Vertical,OTHER_ANCHOR,0.09894448556151363,-0.17228416285026155,-0.464836663797326,-0.3453230605920533,-0.14716859282776676,-0.35447846102890435,-0.7654058752362396,strategize next-generation users,-0.1284897799289978,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,0.24809000436516154,-0.5970565392607556,1,1708.42,1.4950576232239925,2.2356998790333384,1.3027253002393058,-0.22623941166199216,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5670224131295473
-0.030182602107750468,0.8207728645086299,1.0070658400017145,-1.462219796716494,-1.9315721461651327,-0.1448382406344792,-0.008918531571799972,-0.3572091656776292,Vertical,OTHER_ANCHOR,-0.3425007677393163,-0.13945195187986362,-0.2282292606070256,-0.13638860429746,-0.1542178948451424,-0.35447846102890435,-0.7654058752362396,mesh enterprise portals,-0.071179006666051,Miller LLC,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,0.4856714448346987,-0.5970565392607556,1,473.92,-0.9938515894348083,2.2356998790333384,-0.4149524155317648,-0.22623941166199216,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.6167398877887975
-0.030182602107750468,-0.2510661397739409,-0.03857182310340391,0.1547988952972292,0.18857471935082673,0.4076266708292521,0.4987249309993176,-0.3824544914380947,Vertical,arrowset,0.0764870614883045,-0.18262533261372615,-0.44827215163232736,-0.3251359422674263,-0.5435771983531392,-0.35447846102890435,-0.7654058752362396,mesh enterprise portals,-0.5653375087650536,Miller LLC,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,0.6399590778604486,-0.5970565392607556,1,341.0,-0.8472100904825741,-0.8659951886753633,-0.4149524155317648,-0.22623941166199216,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8891096049208013
-0.030182602107750468,-0.24091657157531862,-0.03857182310340391,0.13077832764705816,0.27359592272159866,-0.12924498257481296,-0.0031824472489626067,-0.4580510659111738,Vertical,OTHER_ANCHOR,0.0764870614883045,-0.20312273351994506,-0.12153006356425673,-0.0021697701851456806,-0.11385528707021872,-0.35447846102890435,-0.7654058752362396,strategize next-generation users,-0.6046673509088868,Miller LLC,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,-0.3920351394863263,0.7024491209376963,1,429.31,-0.40770077756207757,0.6848523451789876,0.7335718704752648,-0.22623941166199216,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8750778043466286
-0.030182602107750468,0.8207728645086299,-0.10422250278524825,-0.6440904734458544,-0.842376135843173,-0.1382370514960193,-0.0218247212981843,-0.07389283579470263,LowTangent,OTHER_ANCHOR,0.18031104854520294,-0.14958452255891677,0.07130597470878039,0.034008982811467484,-0.28717759006972504,-0.35447846102890435,1.3064963731711021,mesh enterprise portals,0.5531923789584982,Miller LLC,-0.08302969325705788,0.5008194548181133,-0.10892633567348302,-0.24515452207780708,0.7024491209376963,0,671.19,-0.9240123356032414,0.6848523451789876,-0.4149524155317648,-0.22623941166199216,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5511103407531643
-0.030182602107750468,-0.2510661397739409,-0.03857182310340391,0.1547988952972292,0.18857471935082673,-0.11623499838498857,0.4987249309993176,-0.3824544914380947,Vertical,arrowset,0.0764870614883045,-0.5893925451152928,0.6674662308539766,0.7890059107921354,-0.42143032962193944,-0.35447846102890435,1.3064963731711021,mesh enterprise portals,-0.1284897799289978,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,0.2887265322149971,-1.8965621994592075,0,286.0,-1.2847977393418755,-0.8659951886753633,-0.4149524155317648,-0.22623941166199216,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.5831490733696507
-0.030182602107750468,0.8207728645086299,-0.03857182310340391,-0.1908574223762556,-0.43344513744787283,-0.18342811329700745,-0.008918531571799972,-0.47750764647090566,Vertical,OTHER_ANCHOR,0.0764870614883045,0.15674010355542156,0.1331694864805477,0.02921978466307865,0.3316074744788315,1.247563504260618,-0.7654058752362396,mesh enterprise portals,-0.669764175120762,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,0.40506381936564173,0.7024491209376963,1,217.0,-0.3748839555948777,-0.8659951886753633,0.7335718704752648,-0.22623941166199216,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.75376847229769
-0.030182602107750468,-0.2510661397739409,-0.03857182310340391,0.1547988952972292,0.18857471935082673,2.846819391517282,2.859123629846944,-0.4393865810274324,Vertical,OTHER_ANCHOR,0.0764870614883045,-0.6497884725225609,0.3051344814141616,0.5629152459313439,-0.6165020703728058,-0.35447846102890435,-0.7654058752362396,strategize next-generation users,-0.8356119174767807,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,-0.20266925582403375,-0.5970565392607556,1,187.92,1.1566218446031309,-0.8659951886753633,-0.4149524155317648,-0.22623941166199216,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.3631323690677486
-0.030182602107750468,-0.2510661397739409,0.047691114733309795,0.4571759502244838,0.4246104940289213,0.026670288612622557,0.4944228677571893,0.6910730788810311,HighTangent,arrowset,-0.143679797398661,0.5754030142367795,0.3520314722592978,-0.035899200386418424,0.38488751009866023,-0.35447846102890435,-0.7654058752362396,strategize next-generation users,0.5519595823676725,UNKNOWN,-0.08302969325705788,0.7611736355907558,-0.10892633567348302,0.5657416012559394,-0.5970565392607556,0,184.03,-0.35856354922743283,-0.8659951886753633,-0.4149524155317648,-0.22623941166199216,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.7390318393847506
-0.030182602107750468,-0.2510661397739409,-0.03857182310340391,0.1547988952972292,0.18857471935082673,-0.28901583815563464,0.2879238321350401,-0.46610849708494473,Vertical,OTHER_ANCHOR,0.0764870614883045,-0.4016418463985604,-0.34857761730655623,-0.1051382756485674,-0.5087581196589648,-0.35447846102890435,-0.7654058752362396,mesh enterprise portals,-0.7328076927108867,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,0.3157211872161823,-0.5970565392607556,1,260.0,-0.9453193431084645,-0.8659951886753633,-0.4149524155317648,-0.22623941166199216,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0767246958560912
